evidence_unit	dataset_or_scope	scientific_role	canonical_command	config	backend	source_commit	frozen_result	status	manuscript_disposition	mandatory_caveat
E1	AACR_LUAD;AACR_COAD;AACR_IDC	exact 15-event cross-sectional input	python experiments/prepare_cross_sectional.py	configs/cross_sectional_preparation.yaml	structured preprocessing	2a6c384	reference_results/final_manuscript_evidence/P15_INPUT_AUDIT.tsv	RESOLVED_CURRENT	Methods/Supplement	provider-authorized raw data are not redistributed
E3	AACR_LUAD	final cMHN fit and theta	python experiments/run_cross_sectional.py	configs/cross_sectional.yaml	official mhn 1.2.3	2a6c384	reference_results/final_manuscript_evidence/cross_sectional/AACR_LUAD	RESOLVED_CURRENT	Methods/Results	selected lambda is at the tested grid boundary
E3	AACR_COAD	final cMHN fit and theta	python experiments/run_cross_sectional.py	configs/cross_sectional.yaml	official mhn 1.2.3	2a6c384	reference_results/final_manuscript_evidence/cross_sectional/AACR_COAD	RESOLVED_CURRENT	Methods/Results	selected lambda is at the tested grid boundary
E3	AACR_IDC	final cMHN fit and theta	python experiments/run_cross_sectional.py	configs/cross_sectional.yaml	official mhn 1.2.3	2a6c384	reference_results/final_manuscript_evidence/cross_sectional/AACR_IDC	RESOLVED_CURRENT	Methods/Results	five-fold CV with one-standard-error selection
E4	three AACR cohorts	conditional inflow computability	python experiments/run_secondary.py	configs/secondary.yaml	frozen official-cMHN theta	c208e4f	reference_results/final_manuscript_evidence/core_evidence	RESOLVED_CURRENT	Main/Supplement	F_hat is conditional relative inflow, not absolute CTMC flux
E5	three AACR cohorts	conditional sampling stability	python experiments/run_cross_sectional.py	configs/cross_sectional.yaml	fixed fitted theta; 500 count bootstraps	2a6c384	reference_results/final_manuscript_evidence/cross_sectional	RESOLVED_CURRENT	Main/Supplement	uncertainty is conditional on theta
E6-gradient	synthetic continuous dwell truth	continuous relative-dwell recovery	python experiments/run_simulation.py	configs/simulation.yaml	oracle generating theta	48799b2	reference_results/final_manuscript_evidence/simulation_dwell_gradient	RESOLVED_CURRENT	Main	does not include cMHN refit error
E7	36 synthetic topology/sparsity/placement conditions	robustness of relative ordering	python experiments/run_topology_robustness.py	configs/topology_robustness.yaml	oracle generating theta	9bc5f00	reference_results/final_manuscript_evidence/simulation_topology_robustness	RESOLVED_CURRENT	Supplement	advantage is modest and condition-dependent
E9	synthetic observation enrichment	O-star auxiliary analysis	historical analysis	historical experiment_09 config	legacy synthetic workflow	e421560	legacy historical result	LEGACY_SECONDARY	Supplement	O-star is auxiliary and not the core dwell proxy
E10	three AACR cohorts	real-cohort R-star landscape	python experiments/run_secondary.py	configs/secondary.yaml	frozen official-cMHN theta	c208e4f	reference_results/final_manuscript_evidence/core_evidence	RESOLVED_CURRENT	Main	R-star is cohort-relative
E11	three AACR cohorts	distinctness from occupancy and inflow	python experiments/run_secondary.py	configs/secondary.yaml	frozen official-cMHN theta	c208e4f	reference_results/final_manuscript_evidence/core_evidence	RESOLVED_CURRENT	Main	only eligible R-star states are compared
E13	three AACR cohorts	internal split stability	historical analysis	historical experiment_13 config	fixed full-cohort backbone	legacy	historical retained tables	LEGACY_SECONDARY	Supplement	internal sampling stability, not independent replication
E14	three AACR cohorts	denominator ablation	python experiments/run_secondary.py	configs/secondary.yaml	frozen official-cMHN theta	c208e4f	reference_results/final_manuscript_evidence/core_evidence	RESOLVED_CURRENT	Main/Supplement	ablation assesses state ranking, not absolute time
E15A	three AACR cohorts	matched-decoy falsification	python experiments/run_secondary.py	configs/secondary.yaml	frozen official-cMHN theta	c208e4f	reference_results/final_manuscript_evidence/core_evidence	RESOLVED_CURRENT	Main/Supplement	matched on implemented state properties only
E15B	three AACR cohorts	inflow-pairing shuffle control	python experiments/run_secondary.py	configs/secondary.yaml	frozen official-cMHN theta	c208e4f	reference_results/final_manuscript_evidence/core_evidence	RESOLVED_CURRENT	Main/Supplement	400 shuffle replicates
E16	three AACR cohorts	representative real topology routes	python experiments/run_secondary.py	configs/secondary.yaml	frozen official-cMHN theta	c208e4f	reference_results/final_manuscript_evidence/core_evidence	RESOLVED_CURRENT	Main/Supplement	dominant-predecessor routes are not phylogenies
E17-selected	GLASS;CRC-triplets;MNM-WashU	external longitudinal consistency	python experiments/run_longitudinal.py	configs/longitudinal.yaml	full-cohort frequency/co-occurrence fallback	1a03c81	reference_results/experiment_17_legacy	RESOLVED_WITH_CAVEAT	Main/Supplement	not patient-grouped OOF official-cMHN validation; small changed classes
