metric	label	role	direction	rationale	minimum_evidence_rule	evaluable_cohorts	supportive_cohorts	median_value	min_value	max_value	recommendation
auc	AUC	primary	higher_than_0.5	Threshold-free discrimination of persistent versus changed adjacent states.	Primary retained cohorts >0.5.	2	2	0.6583333333333333	0.65	0.6666666666666666	main
delta_persistence_rate_high_minus_low	Top-bottom persistent difference	primary	positive	Directly compares empirical persistence in the highest versus lowest predicted R* terciles.	Primary retained cohorts positive.	2	2	0.2	0.125	0.275	main
spearman_r_minimum_dwell_interval	Spearman rho minimum dwell	primary	positive	Ranks R* against a conservative lower bound of observed dwell interval.	Primary retained cohorts positive.	2	2	0.18321038363742864	0.18012534820460646	0.18629541907025082	main
average_precision_lift	Average precision lift	supportive	higher_than_1	Evaluates enrichment of persistent states near the top of the R* ranking relative to prevalence.	At least one retained cohort >1 and no coherent contradiction.	2	2	1.134773838293695	1.0789295512494044	1.1906181253379857	supplement
spearman_r_jaccard	Spearman rho state similarity	supportive	positive	Tests whether high R* aligns with broader genotype similarity, not only exact persistence.	Primary retained cohorts positive.	2	2	0.20781091114984057	0.1771301879280236	0.23849163437165757	supplement
rank_biserial_persistence	Rank-biserial effect	supportive	positive	Effect-size transform of AUC, easier to interpret as a rank advantage.	Primary retained cohorts positive.	2	2	0.31666666666666665	0.30000000000000004	0.33333333333333326	supplement
top_bottom_risk_ratio	Top-bottom persistence risk ratio	supportive	higher_than_1	Fold-change version of the top-versus-bottom R* persistence comparison.	Primary retained cohorts >1.	2	2	1.3005952380952381	1.1428571428571428	1.4583333333333335	supplement
minimum_dwell_mannwhitney_p	Minimum dwell one-sided Mann-Whitney P	supportive	lower_is_better	Tests whether top R* pairs have larger conservative minimum dwell intervals than bottom R* pairs.	Useful as uncertainty annotation, not as a standalone main claim.	2	0	0.14883102241701296	0.12477275175844577	0.17288929307558015	supplement
balanced_accuracy	Balanced accuracy	secondary	higher_than_0.5	Depends on an arbitrary median threshold; useful QC but less aligned with relative ranking.	Do not use as a main positive claim if class balance is poor.	2	1	0.5364145658263305	0.5	0.572829131652661	qc_only
accuracy	Accuracy	not_recommended_main	higher_than_base_rate	Strongly distorted by persistent-class prevalence in small longitudinal cohorts.	Report only descriptively.	2	0	0.7611714975845411	0.6527777777777778	0.8695652173913043	descriptive_only
spearman_r_interval	Spearman rho raw interval	not_recommended_main	positive	Raw follow-up interval does not require the state to persist and is therefore less specific to dwell time.	Do not use as primary evidence.	1	0	-0.21116081689943145	-0.21116081689943145	-0.21116081689943145	descriptive_only
